game_id,home_odds,away_odds,ot_odds,home_result,away_result,ot_result
2022-12-05NYRSTL,0.51813,0.30769,0.2331,1,0,0
2022-12-05PHICOL,0.28409,0.54348,0.22883,1,0,0
2022-12-05VANMTL,0.57803,0.26385,0.21413,0,0,1
2022-12-06ANACAR,0.21231,0.63694,0.20833,0,0,1
2022-12-06DALTOR,0.42918,0.39216,0.23529,0,1,0
2022-12-06NJDCHI,0.6993,0.16978,0.19084,1,0,0
2022-12-06NYISTL,0.54645,0.2809,0.22831,0,1,0
2022-12-06OTTLAK,0.41667,0.41152,0.22883,0,1,0
2022-12-06PITCBJ,0.64516,0.21142,0.2,1,0,0
2022-12-06SEAMTL,0.62893,0.21739,0.20964,0,1,0
2022-12-06TBLDET,0.59172,0.24752,0.21598,0,1,0
2022-12-06WPGFLA,0.40161,0.42373,0.23474,1,0,0
2022-12-07CBJBUF,0.32787,0.50761,0.22321,0,1,0
2022-12-07CGYMIN,0.48077,0.34247,0.2331,1,0,0
2022-12-07COLBOS,0.3003,0.53191,0.22573,0,1,0
2022-12-07EDMARI,0.65359,0.20284,0.2008,1,0,0
2022-12-07PHIWSH,0.35336,0.4717,0.23364,0,1,0
2022-12-07SJSVAN,0.39526,0.4329,0.22936,0,0,1
