target_game_id,team,season,profit,win,reg_win,overtime,score,opp_score,goals,opp_goals,xGoalsPercentage,xGoals,opp_xGoals
2014-10-28NYIWPG,WPG,2014,2.41997264,1,1,0,4,3,1,1,0.4772,1.12,1.227
2014-10-29EDMNSH,EDM,2014,-1,0,0,0,1,4,1,4,0.4442,1.66,2.077
2014-10-28CGYMTL,MTL,2014,-1,1,0,1,2,1,1,0,0.4133,1.091,1.549
2014-11-01NYRWPG,NYR,2014,-1,0,0,1,0,1,0,0,0.5993,1.964,1.313
2014-10-28BOSMIN,MIN,2014,2.359989248,1,1,0,4,3,4,2,0.6222,2.857,1.735
2014-10-30MINSJS,MIN,2014,-1,1,0,1,4,3,3,2,0.6701,2.614,1.287
2014-10-30BUFBOS,BOS,2014,-1,1,0,1,3,2,2,1,0.639,1.825,1.031
2014-10-31CBJTOR,CBJ,2014,-1,0,0,0,1,4,0,3,0.4081,1.174,1.703
2014-10-30OTTCHI,OTT,2014,-1,0,0,1,4,5,3,4,0.5157,2.054,1.929
2014-10-31CGYNSH,CGY,2014,1.770006371,1,1,0,4,3,2,2,0.4954,2.573,2.621
2014-10-30VANMTL,MTL,2014,-1,0,0,1,2,3,2,2,0.4487,1.63,2.003
2014-10-30STLANA,ANA,2014,-1,0,0,0,0,2,0,2,0.4811,1.549,1.671
2014-10-30OTTCHI,CHI,2014,-1,1,0,1,5,4,4,3,0.4843,1.929,2.054
2014-10-30COLNYI,COL,2014,1.230002453,1,1,0,5,0,3,0,0.3597,1.476,2.627
2014-10-30MINSJS,SJS,2014,-1,0,0,1,3,4,2,3,0.3299,1.287,2.614
2014-10-30STLANA,STL,2014,1.479974208,1,1,0,2,0,2,0,0.5189,1.671,1.549
2014-10-31DALANA,DAL,2014,-1,0,0,1,1,2,1,0,0.4964,1.182,1.199
2014-10-30COLNYI,NYI,2014,-1,0,0,0,0,5,0,3,0.6403,2.627,1.476
2014-10-30NJDWPG,WPG,2014,-1,0,0,1,1,2,0,1,0.4288,1.202,1.601
2014-10-30PITLAK,LAK,2014,-1,0,0,0,0,3,0,1,0.494,1.348,1.381
2014-10-30TBLPHI,PHI,2014,-1,0,0,0,3,4,2,2,0.5894,1.747,1.217
